text,font_size,x0,bold,distance_above,line_height,line_len,first_caps,all_caps,is_ending_with_fullstop,page_number,label
Provençal Folk Music,0.0,0.125754265,1,0.205402333,1.911502266,-1.542799845,1,0,1,5,1
Medieval Life,0.444956826,-1.076312685,0,0.25446141,0.441704366,-1.076515747,1,0,1,13,1
presentations/conferences a year with a,-0.308198317,1.240055545,0,0.113646217,-0.333236664,0.34886224,0,0,1,1,0
International Software Testing Qualifications Board,4.720718183,-0.427904136,0,0.628186891,4.657673028,1.287161705,1,0,1,1,1
2.6 Keeping It Current,2.318066391,-0.651291723,0,0.585262528,2.26135575,-0.264422155,0,0,1,9,1
"remain, it is a UNESCO World Heritage site.",0.444956826,1.113108494,0,0.170638449,0.441704366,-0.260633844,0,0,0,7,0
For each Ontario citizen it could mean:,0.015009781,-0.477562364,1,0.222155079,-0.081168704,-0.361657952,1,0,1,5,1
2.5 serving as a focus group for business planner(s) to test ideas;,-0.283377744,-0.421921796,0,0.112599259,-0.303394875,0.161409881,0,0,1,11,0
the rugged Pyrenees mountains. The Mediterranean climate ensures warm summers and,0.444956826,-1.076312221,0,0.170637968,0.441720874,1.006614201,0,0,1,2,0
Overview,8.361099652,0.601667546,1,0.079525185,8.288445492,-0.447173311,1,0,1,1,1
"often accompanied by music and festivities, particularly in Arles from April to October.",0.0,-2.12850737,0,0.125717997,-0.524663159,0.579649315,0,0,0,3,0
Pack a Day Bag: Bring a small day bag for daily excursions.,0.725910537,0.861576128,1,-0.006410864,0.732414829,0.633884965,1,0,0,8,0
Lavender Products,0.0,0.125754265,1,0.205044666,1.911502266,-1.624408224,1,0,1,4,1
Arles: A Roman Treasure,0.444956826,-1.076312685,1,-6.046141414,0.467697126,-0.733133419,1,0,1,12,1
accountable to potential ODL funders including  the Province of Ontario.,-0.283377744,-0.421921796,0,0.112599546,-0.303394875,0.341186305,0,0,0,11,1
I declare that the particulars furnished above are true and correct to the best of my knowledge.  I,-0.137360564,-0.23503925,0,1.3318978,-0.137536845,3.122504264,1,0,1,1,0
4.1 Trademarks,2.318066391,-0.651291723,0,0.319920493,2.26135575,-0.492143106,0,0,1,12,1
Student Life,0.444956826,-1.076314541,0,0.25446141,0.441704366,-1.11676101,1,0,1,10,1
sweets served after Midnight Mass on Christmas Eve. The number represents Jesus and the,0.0,3.507146717,0,0.125717997,-0.52156765,0.718701803,0,0,1,4,0
Overview of the Region,0.444956826,-1.076312685,1,-1.434606121,0.467697126,-0.772048567,1,0,1,2,1
History,0.444956826,-1.076310829,0,0.254839672,0.441729129,-1.248472934,1,0,1,8,1
#NAME?,-0.283377744,-0.419590907,0,0.112599259,-0.303394875,-1.017624971,0,0,1,14,0
blessed by the local priest.,0.0,-2.12850737,0,0.125717542,-0.523115404,-1.394399568,0,0,0,4,0
Pétanque,0.0,0.125754265,1,0.205402333,1.911502266,-1.939748851,1,0,1,3,1
3,-0.137360564,-0.252102538,1,0.062557489,-0.137180923,-0.749747155,0,0,0,1,0
Promenade du Peyrou: This 17th-century promenade oﬀers stunning views of the city,0.444956826,1.113109422,0,-0.000373687,0.441704366,0.909466532,1,0,1,10,0
5. Term,-0.283377744,-0.477170795,1,0.224546443,-0.303394875,-1.365559028,0,0,1,12,1
culture of the region.,0.444956826,1.113109422,0,0.170638449,0.441704366,-0.874624078,0,0,0,11,0
4. Appointment Criteria and Process,-0.283377744,-0.476862988,1,0.219978261,-0.303394875,-0.506843145,0,0,1,12,1
,-0.157392961,-0.527187847,0,0.080619798,0.365405763,-1.067995106,0,0,1,11,0
•,-2.247409054,0.018398369,0,0.273220984,-2.247345293,-1.424017963,0,0,1,5,0
business plan plus two months. This process is expected to take approximately 6 months.,-0.283377744,-0.421923114,0,0.111473031,-0.303394875,0.850828715,0,0,0,12,0
Shared funding:,0.015009781,-0.477245258,1,0.224443483,-0.081163077,-1.105074954,1,0,1,4,1
Shared decision-making and accountability:,0.015009781,-0.477245258,1,0.224443771,-0.081168704,-0.18505856,1,0,1,4,1
bravery as they dodge the bull's charges. The sport is deeply rooted in local culture and is,0.0,-1.564941961,0,0.125717997,-0.524663159,0.670393662,0,0,1,3,0
Cultural Highlights,0.444956826,-1.076312685,0,0.255090992,0.441737383,-0.938484402,1,0,1,5,1
•,-2.247409054,0.018398369,0,0.273851528,-2.247345293,-1.424017963,0,0,1,7,0
Ontario’s Digital Library,2.501572929,-0.47716977,0,-5.99223032,2.853297072,-0.139219728,1,0,1,2,1
General Packing Tips and Tricks,0.725910537,-1.955114875,1,-1.343915836,0.732421243,-0.112194103,1,0,1,2,1
Conclusion,0.444956826,-1.076312685,1,-6.046141414,0.467697126,-1.13126269,1,0,1,14,1
Conclusion,0.0,0.125754265,1,0.70486162,1.911502266,-1.889436935,1,0,1,5,1
A Comprehensive Guide to Traditions and Culture in the South of France,0.0,0.125754265,1,0.102456559,1.912276143,0.196723655,1,0,1,1,1
History,0.444956826,-1.076312685,0,0.254839672,0.441729129,-1.248472934,1,0,1,11,1
"great deal of work needed to improve this infrastructure, libraries are beginning to plan how",0.015009781,-0.47716977,0,0.111351953,-0.081168704,1.216301264,0,0,1,3,0
"of the medieval period, who composed and performed lyrical poetry, were particularly",0.0,0.125754265,0,0.125717542,-0.524663159,0.593159199,0,0,1,2,0
Key Attractions,0.444956826,-1.076312685,0,0.25446157,0.441720874,-1.026624887,1,0,1,9,1
Revision History,3.482988507,-0.651291723,1,0.388865592,3.423205422,-0.346184552,1,0,1,3,1
3.2 Universities:,-0.283377744,-0.422017565,0,0.113725198,-0.303394875,-1.198461716,0,0,1,11,0
Cultural Fusion,0.444956826,-1.076312685,0,0.25446141,0.441704366,-1.034274846,1,0,1,11,1
Version 1.0,1.080336715,0.760540634,0,0.949549364,1.026875722,-0.734557611,1,0,1,1,0
opera house.,0.444956826,1.113111278,0,0.170638449,0.441704366,-1.090152619,0,0,0,7,0
that for ODL to be optimally successful libraries must transition to a new way of doing business and,-0.283377744,-0.477170795,0,0.112599259,-0.303394875,1.211254023,0,0,1,9,0
Pottery and Ceramics,0.0,0.125754265,1,0.205402333,1.911502266,-1.53487663,1,0,1,4,1
Provençal Language,0.0,0.125754265,1,0.205402257,1.912276143,-1.575284781,1,0,1,2,1
•,-2.247409054,0.018398369,0,0.271960216,-2.247345293,-1.424017963,0,0,1,13,0
"and features the Arc de Triomphe and the Château d'Eau, a beautiful water tower.",0.444956826,1.11311035,0,0.170638449,0.441704366,0.804701935,0,0,0,10,0
Phase I:  Business Planning,-0.283377744,-0.477170795,1,0.253483313,-0.303394875,-0.803839038,1,0,1,9,1
"Stroller: A lightweight, foldable stroller for younger children.",0.725910537,0.861576128,1,-0.006411206,0.732414829,0.686800044,1,0,0,6,0
Summary,0.280243166,-0.41958893,0,0.478533315,0.76462427,-1.243974346,1,0,1,2,1
commercial products as individual libraries or institutions. We can work together to spend our,0.015009781,-0.47716977,0,0.111351953,-0.081168704,1.215938135,0,0,1,3,0
•,-1.377580224,-0.546769374,0,0.286751791,-1.377545417,-1.032817771,0,0,1,2,0
RFP: To Develop the Ontario Digital Library Business Plan,-0.946461206,-0.47716977,1,0.754060295,-0.797227058,-0.375430584,1,0,1,14,0
Additional Items: A small first aid kit with child-specific medications.,0.725910537,0.861576128,1,-0.006411206,0.732414829,0.923772069,1,0,0,6,0
PATHWAY OPTIONS,1.648489706,0.442538686,0,3.55515853,2.902990328,-0.272346921,1,1,1,1,0
1. Introduction to the Foundation Level Extensions,3.482988507,-0.651291723,0,0.499084509,3.423201282,1.199498506,0,0,1,6,1
Key Attractions,0.444956826,-1.076313613,0,0.25446157,0.441720874,-1.026624972,1,0,1,10,1
3.1 Business Outcomes,2.318066391,-0.651291723,0,0.329327608,2.26135575,-0.201522831,0,0,1,10,1
expertise,0.015009781,0.213796507,0,0.111351234,-0.081160264,-1.357278784,0,0,1,6,0
"flavors. Olive oil, garlic, tomatoes, and herbs such as thyme, rosemary, and basil are staples in",0.0,0.125754265,0,0.125717997,-0.524663159,0.80705233,0,0,1,3,0
3. Membership,-0.283377744,-0.4772651,1,0.219978261,-0.303394875,-1.198455066,0,0,1,11,1
Check the Weather: Check the forecast before packing to ensure appropriate clothing.,0.725910537,0.861576128,1,-0.006411035,0.732414829,1.428505182,1,0,0,8,0
•,-1.377580224,-0.546769374,0,0.286482364,-1.377519758,-1.032817771,0,0,1,7,0
building with a neoclassical facade. It has been the seat of municipal power since the,0.444956826,1.113109422,0,0.170638449,0.441704366,0.884887867,0,0,1,9,0
"street performances, and fireworks. The Battle of Flowers, where participants throw flowers",0.0,-1.001376552,0,0.125717997,-0.524663159,0.745235564,0,0,1,2,0
"Festivals: Emphasize the blend of French and Catalan cultures in the city's festivals,",0.444956826,1.113109422,0,-0.000373687,0.441704366,0.838323945,1,0,1,11,0
Evaluation and Awarding of Contract,0.280243166,-0.41958893,0,-6.136137731,0.764625676,-0.146246752,1,0,1,8,1
Packing for All Seasons,0.725910537,-1.955114875,1,-5.794739384,0.732421243,-0.367847265,1,0,1,3,1
•,-1.377580224,-0.546769374,0,0.287826936,-1.377545417,-1.032817771,0,0,1,2,0
Comprehensive Guide to Major Cities in the South of France,0.444956826,-1.076312685,1,0.146058442,0.467697126,0.266685926,1,0,1,1,1
References,-0.157392961,-0.513108595,1,-0.007656291,-0.207571181,-0.778925404,1,0,1,4,0
Artistic Influence,0.444956826,-1.076312685,0,0.25446141,0.441704366,-0.981390572,1,0,1,12,1
"digital libraries. We can learn from their experiences. For example, The Alberta Library (TAL)",0.015009781,-0.477169624,0,0.111351953,-0.081163077,1.182206868,0,0,1,3,0
Ontario citizens,0.015009781,-0.304548791,0,0.111351953,-0.081168704,-1.16288407,1,0,1,4,0
The tester should be able to assess quality risks within an Agile project.,-0.157392961,-0.407204812,0,-0.008125377,-0.207571181,0.752271248,1,0,0,11,0
Mar-03,-0.946461206,1.506151005,1,0.029241457,-0.797227058,-1.365942813,1,0,1,4,0
"the preparation of the business plan, finance, and communications.",-0.283377744,-0.131421657,0,0.111472672,-0.303393468,0.2116502,0,0,0,12,0
"The Ultimate South of France Travel Companion: Your Comprehensive Guide to Packing,",0.725910537,-1.955114875,1,0.151119029,0.732421243,1.579829625,1,0,1,1,1
"electronic resources that are still available and then, after graduation, continue to use these",0.015009781,-0.47716977,0,0.112496299,-0.081168704,1.214768542,0,0,1,3,0
Foundation Level Extension – Agile Tester,-0.157392961,-0.627295253,0,0.057345,-0.207575322,0.004785387,1,0,1,12,0
Foundation Level Extensions,8.361099652,-0.179623678,1,0.302977937,8.288453773,0.87769876,1,0,1,1,1
History,0.444956826,-1.076312685,0,0.254839672,0.441729129,-1.248472934,1,0,1,5,1
Key Attractions,0.444956826,-1.076311757,0,0.25446157,0.441720874,-1.026624972,1,0,1,5,1
•,-1.377580224,-0.546769374,0,0.288499137,-1.377545417,-1.032817771,0,0,1,6,0
Beach Trips,0.725910537,-1.955114875,1,0.267145819,0.732414829,-0.715175756,1,0,1,7,1
Transhumance Festivals,0.0,-2.12850737,1,0.205640778,1.911502266,-1.451287749,1,0,1,2,1
reflected in its architecture and culture. Perpignan's strategic location has made it a,0.444956826,-1.076312685,0,0.170637968,0.441720874,0.839293131,0,0,1,11,0
"Cost, including expenses",0.015009781,-0.131670963,0,0.111351809,-0.081171517,-0.909229182,1,0,1,8,0
8.2 The role of the Ontario Library Association is to assume responsibility for  funds contributed by the,-0.283377744,-0.421923114,0,0.221104489,-0.303394875,1.159261683,0,0,1,12,0
"Basilica of Notre-Dame de la Garde: This iconic basilica, perched on a hill",0.444956826,1.113109422,1,-0.001634134,0.467688871,0.600475523,1,0,1,3,0
Date of entering the Central Government,-0.137360564,-0.342375212,0,-1.229388125,-0.137358884,0.846011909,1,0,1,1,0
Winter (December to February),0.725910537,-1.955114875,1,0.266742362,0.732414829,-0.118075101,1,0,1,3,1
"Aix-en-Provence is known for its vibrant arts scene, with numerous galleries, theaters, and",0.444956826,-1.076312685,0,0.254460768,0.441737383,1.041851084,1,0,1,8,0
that is beyond the scope of this document.,-0.157392961,-0.651291671,0,0.082809026,-0.207571181,0.000438503,0,0,0,6,0
"Skincare: Sunscreen, moisturizer, and daily skincare products.",0.725910537,0.861576128,1,-0.006410864,0.732414829,0.722432313,1,0,0,4,0
Endowment,-0.283377744,-0.243295784,0,0.117104744,-0.303394875,-1.30580202,1,0,1,10,0
Appendix C:,0.280243166,-0.41958893,0,-6.027574119,0.764625676,-1.146470989,1,0,1,14,1
Gadgets and Accessories,0.725910537,-1.955112487,1,0.266742362,0.732414829,-0.320452825,1,0,1,4,1
Introduction,0.0,0.125754265,1,0.205402257,1.912276143,-1.839917351,1,0,1,1,1
"theater, and dance performances in various historic venues. Carcassonne's cuisine is also",0.444956826,-1.076312685,0,0.170638449,0.441737383,0.991986277,0,0,1,13,0
History,0.444956826,-1.076312685,0,0.254839672,0.441729129,-1.248472934,1,0,1,3,1
"in Nice, this museum features a comprehensive collection of his paintings, sculptures,",0.444956826,1.113109886,0,0.171646615,0.441704366,0.901490029,0,0,1,5,0
Safety and Comfort,0.725910537,-1.955114875,1,0.266741678,0.732414829,-0.476473901,1,0,1,6,1
strengthens every local library in Ontario by allowing them to reinvest existing dollars in new resources,-0.283377744,-0.477094209,0,0.112599546,-0.303394875,1.175373198,0,0,1,10,0
a financial forecast for the succeeding 2 operating years,0.015009781,-0.074090416,0,0.111351953,-0.081168704,0.069502288,0,0,1,2,0
downloaded content.,0.725910537,0.861571352,0,0.178411546,0.712221243,-0.439596124,0,0,0,6,0
Shared governance structure:,0.015009781,-0.477245258,1,0.224443483,-0.081163077,-0.650048708,1,0,1,4,1
4 credits of Science,-0.308198317,-0.623869563,0,-0.057179882,-0.333236664,-0.520445698,0,0,1,1,0
Water Bottle: Stay hydrated by drinking water between tastings.,0.725910537,0.861576128,1,-0.00641095,0.732421243,0.791967197,1,0,0,8,0
policies of the Ontario Library Association,-0.283377744,-0.07625986,0,0.112599546,-0.303394875,-0.497246001,0,0,1,13,0
History,0.444956826,-1.076312685,0,0.254839672,0.441729129,-1.248472934,1,0,1,9,1
$50M,-0.283377744,1.675270709,0,0.005126499,-0.303394875,-1.498640737,0,1,1,10,0
2,-0.157392961,-0.651291934,1,0.129879457,-0.207579463,-1.044805702,0,0,0,4,0
Version 2014,-0.157392961,-0.612400934,0,3.224269981,-0.050824432,-0.759071358,1,0,1,12,0
History,0.444956826,-1.076312685,0,0.254839672,0.441729129,-1.248472934,1,0,1,10,1
Appendix B:,0.280243166,-0.41958893,0,-6.027574119,0.764625676,-1.146328215,1,0,1,11,1
seek further response to these Terms of Reference.,0.015009781,-0.41958893,0,0.111351809,-0.081171517,-0.057439767,0,0,0,3,0
Introduction,0.725910537,-1.955114875,1,0.267145733,0.732414829,-0.685078554,1,0,1,1,1
"Avignon, located on the banks of the Rhône River, is best known for its role as the seat of the",0.444956826,-1.076312685,0,0.25446149,0.441729129,1.110034176,1,0,1,7,0
The Business Plan to be Developed,0.280243166,-0.41958893,0,0.307707816,0.764629896,-0.218187347,1,0,1,6,1
"Boat Trip to the Calanques: Take a boat trip to the Calanques, a series of stunning",0.444956826,1.113109422,1,-0.001634134,0.467655854,0.821325201,1,0,1,3,0
Travel Tips,0.444956826,-1.076312685,1,0.255091633,0.467688871,-1.138580056,1,0,1,2,1
"The opportunity to gain from the provincial, collaborative partnership in order",0.015009781,0.213796507,0,0.112495868,-0.081171517,0.686643091,1,0,1,6,0
back centuries. Although modern transportation has replaced much of the traditional,0.0,-2.12850737,0,0.125717391,-0.52156765,0.537300963,0,0,1,2,0
Nice: The Jewel of the French Riviera,0.444956826,-1.076312685,1,-0.188603817,0.467697126,-0.393543252,1,0,1,5,1
Festivals and Celebrations,0.0,0.125754265,1,0.454953294,1.911502266,-1.374433258,1,0,1,2,1
Wine Tours,0.725910537,-1.955117263,1,0.267414563,0.732414829,-0.725208098,1,0,1,7,1
Special Considerations,0.725910537,-1.955114875,1,0.548406142,0.732414829,-0.382030952,1,0,1,7,1
and drawings.,0.444956826,1.113109886,0,0.170638449,0.441704366,-1.063211594,0,0,0,5,0
the go.,0.725910537,0.861577322,0,0.178411204,0.712246902,-0.864070325,0,0,0,4,0
Cultural Highlights,0.444956826,-1.076312685,0,0.25446141,0.441737383,-0.938484402,1,0,1,8,1
•,-1.377580224,-0.546769374,0,0.288498282,-1.377519758,-1.032817771,0,0,1,6,0
all stakeholders are engaged in creating a synergistic ODL organization. The proposal must,0.015009781,-0.477130086,0,0.112496443,-0.081171517,1.153045455,0,0,1,7,0
............................................................................,-0.157392961,1.086574156,1,0.129879457,-0.207579463,0.132927083,0,0,0,4,0
31-May-14,-0.157392961,2.11140979,0,-0.00992362,-0.050824432,-0.749583866,1,0,1,4,0
"vibrant cultural scene, and association with the painter Paul Cézanne. The city's rich history is",0.444956826,-1.076310829,0,0.170637968,0.441720874,1.120053389,0,0,1,8,0
Fête de la Musique,0.0,-1.001376552,1,0.205641082,1.908406757,-1.623219702,1,0,1,2,1
Confidence that the electronic services and sources they – and their children,0.015009781,0.213435543,0,0.111350803,-0.081163077,0.695773829,1,0,1,5,0
treasures and cultural experiences waiting to be discovered. Use this guide to plan your,0.444956826,-1.076312685,0,0.170007745,0.441720874,0.956065135,0,0,1,14,0
Montpellier: A University City with Medieval Charm,0.444956826,-1.076312685,1,-6.046141414,0.467697126,0.037181238,1,0,1,10,1
location on the Mediterranean coast made it a vital trading port throughout history. The city's,0.444956826,-1.076312685,0,0.170637968,0.441720874,1.133690177,0,0,1,3,0
1) A preliminary report will be issued during June 2003.,0.015009781,-0.304427249,0,0.258976045,-0.081168704,0.081632474,0,0,0,7,0
"The South of France, with its picturesque landscapes, charming villages, and vibrant cities, is",0.0,0.125754265,0,0.204805311,-0.522341527,0.754006571,1,0,1,1,0
"heritage and its emphasis on simple, flavorful cooking.",0.0,0.125754265,0,0.125717391,-0.52156765,-0.476504524,0,0,0,3,0
Christmas Traditions,0.0,2.3800159,1,0.205640778,1.911502266,-1.565380662,1,0,1,4,1
"located in the Pyrenees, is one of the most famous, attracting millions of visitors each year.",0.0,0.125754265,0,0.125120975,-0.52156765,0.707607349,0,0,0,4,0
"Perpignan is known for its vibrant cultural scene, with a strong emphasis on Catalan",0.444956826,-1.076312685,0,0.25446141,0.441737383,0.859235637,1,0,1,11,0
Tips and Tricks for Packing,0.725910537,-1.955114875,1,0.548406142,0.732414829,-0.265101627,1,0,1,8,1
"fish soup; and tapenade, an olive spread. Provençal cuisine reflects the region's agricultural",0.0,0.125754265,0,0.125120975,-0.52156765,0.717512072,0,0,1,3,0
Cultural Highlights,0.444956826,-1.076312685,0,0.254460768,0.441737383,-0.938484402,1,0,1,7,1
"in France. In the South of France, cities and towns come alive with music, as both amateur",0.0,0.125754265,0,0.125717391,-0.52156765,0.683877603,0,0,1,2,0
5,-0.137360564,-0.252102538,1,0.295502267,-0.137536845,-0.749747155,0,0,0,1,0
Access:,0.015009781,-0.477562291,1,0.231310566,-0.081171517,-1.359283403,1,0,1,5,1
Toulouse: The Pink City,0.444956826,-1.076312685,1,-6.046141414,0.467697126,-0.771383383,1,0,1,9,1
Cultural Activities,0.444956826,-1.076310829,0,0.25446141,0.441704366,-0.961766787,1,0,1,7,1
medieval architecture in Europe.,0.444956826,-1.076310365,0,0.170637968,0.441720874,-0.552994354,0,0,0,13,0
the ODL Steering Committee. Terms of reference for the Committee are in the appendix.,0.015009781,-0.477169917,0,0.111351953,-0.081168704,1.214940334,0,0,0,7,0
Toiletries,0.725910537,-1.955116069,1,0.267414904,0.732414829,-0.782635012,1,0,1,4,1
Key Attractions,0.444956826,-1.076312685,0,0.25446157,0.441720874,-1.026624887,1,0,1,3,1
Mary is said to have appeared to a young girl in 1858. The town of Saintes-Maries-de-la-Mer,0.0,0.125754265,0,0.125717997,-0.52156765,0.760693004,1,0,1,4,0
Approach and Specific Proposal Requirements,0.280243166,-0.386192084,0,0.307440926,0.764629896,0.241389306,1,0,1,7,1
Background,0.280243166,-0.41958893,0,0.307337248,0.76462427,-1.142651577,1,0,1,3,1
•,-1.377580224,-0.546769374,0,0.287826765,-1.377545417,-1.032817771,0,0,1,7,0
Amended Business Outcomes and Chapters matching,-0.157392961,0.781227226,0,-0.007656171,-0.207579463,0.313599186,1,0,1,3,0
making;,-0.283377744,-0.076480538,0,0.112599259,-0.303394875,-1.419455885,0,0,1,11,0
Multi-Purpose Shoes: Choose shoes that are comfortable for walking but can also be,0.725910537,0.861576128,1,-0.006410864,0.732414829,1.402920388,1,0,1,2,0
9.1 Service on the Steering Committee is non-remunerative,-0.283377744,-0.421796667,0,0.222230716,-0.303394875,0.00107193,0,0,1,13,0
•,-2.247409054,0.018398369,0,0.273220823,-2.247345293,-1.424017963,0,0,1,5,0
"Planning, and Exploring",0.725910537,-1.955114875,1,0.177066717,0.732421243,-0.34086344,1,0,1,1,1
Provincial Purchasing & Licensing:,0.015009781,-0.477562291,1,0.231310422,-0.081168704,-0.419036934,1,0,1,5,1
Key Attractions,0.444956826,-1.076312685,0,0.25446157,0.441720874,-1.026624887,1,0,1,7,1
Essentials,0.725910537,-1.955116069,1,0.266742533,0.732414829,-0.764645868,1,0,1,6,1
"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but",-0.157392961,-0.651291723,0,0.082809026,-0.207571181,1.654811466,0,0,1,6,0
Jazz Manouche,0.0,0.125754265,1,0.205641082,1.911502266,-1.747216632,1,0,1,5,1
6. Chair,-0.283377744,-0.477170795,1,0.219978261,-0.303394875,-1.360803883,0,0,1,12,1
"Day Bag: A small, secure day bag for carrying essentials like water, snacks, and a",0.725910537,0.861576128,1,-0.006411206,0.732414829,1.25175677,1,0,1,7,0
"has acted as a catalyst, bringing together the stakeholders needed to create the Ontario",0.015009781,-0.47716977,0,0.111351809,-0.081171517,1.215436363,0,0,1,3,0
Perpignan: A Blend of French and Catalan Cultures,0.444956826,-1.076312685,1,-5.686899788,0.467697126,0.006248811,1,0,1,11,1
Gifts/In-Kind,-0.283377744,-0.243295784,0,0.117104744,-0.303394875,-1.297784651,1,0,1,10,0
Marseille: The Oldest City in France,0.444956826,-1.076312685,1,-3.127456756,0.467697126,-0.4307951,1,0,1,3,1
International,-0.157392961,1.94808895,0,-0.188528409,-0.207575322,-0.771716444,1,0,1,6,0
..........................................................................................................................................,-0.157392961,-0.131662513,1,0.128940926,-0.207571181,1.13308597,0,0,0,4,0
Work and share information with other team members using effective communication,-0.157392961,-0.138291844,0,-0.007656291,-0.207571181,1.097335525,1,0,1,10,0
History,0.444956826,-1.076312685,0,0.254839672,0.441729129,-1.248472934,1,0,1,7,1
●,-0.308198317,1.053234131,0,0.113646989,-0.333236664,-1.285416177,0,0,1,1,0
"baroque churches, and bustling markets. Don't miss the Cours Saleya market, where",0.444956826,1.113109422,0,0.171646615,0.441704366,0.880902174,0,0,1,5,0
"Basilica of Saint-Sernin: This Romanesque basilica, built between the 11th and 13th",0.444956826,1.113109422,0,-0.000373687,0.441720874,0.81300972,1,0,1,9,0
Mar-03,-0.946461206,1.506151005,1,0.029241457,-0.797227058,-1.365942813,1,0,1,14,0
Key Attractions,0.444956826,-1.076307117,0,0.25446157,0.441720874,-1.026624887,1,0,1,8,1
7,-0.157392961,2.5499275,0,-0.007656171,-0.207579463,-1.060777541,0,0,1,4,0
Swimwear: Swimsuits and cover-ups for beach or pool days.,0.725910537,0.861576128,1,-0.006411035,0.732414829,0.684724108,1,0,0,6,0
9. Financial and Administrative Policies,-0.283377744,-0.477139897,1,0.219978261,-0.303394875,-0.415102609,0,0,1,13,1
"Reusable Bags: Pack a few reusable bags for laundry, shoes, or shopping.",0.725910537,0.861576128,1,-0.006410864,0.732414829,1.053847288,1,0,0,2,0
Cultural Highlights,0.444956826,-1.076312685,0,0.25446141,0.441737383,-0.938484402,1,0,1,9,1
•,-2.247409054,0.018398369,0,0.271960376,-2.247345293,-1.424017963,0,0,1,12,0
